콘텐츠ID,콘텐츠분류,제목,언어,타이틀SEO,연관콘텐츠,지번주소,도로명주소,위도,경도,탐나오연동여부,평점,소셜네트워크URL,조회수,외부검색어,좋아요수,리뷰수,북마크수,일정등록수,다녀왔어요수,PC사용여부,모바일사용여부,공개여부,작성상태,사용여부,작성상태_1,영문PC사용여부,중문PC사용여부,일문PC사용여부,영문작성상태,중문작성상태,일문작성상태,영문공개여부,중문공개여부,일문공개여부,영문모바일사용여부,중문모바일사용여부,일문모바일사용여부,영문승인일시,중문승인일시,일문승인일시,등록자,등록일시,수정자,수정일시,SNS공유수,인기점수,등록일시_1,우편번호,템플릿여부,번역요청일시,영문번역요청일시,중문번역요청일시,일문번역요청일시,페이지SEO자동여부,영문페이지SEO자동여부,중문페이지SEO자동여부,일문페이지SEO자동여부,사진공유수,번체PC사용여부,말레이어PC사용여부,번체작성상태,말레이어작성상태,번체공개여부,말레이어공개여부,번체모바일사용여부,말어모바일사용여부,번체승인일시,말레이어승인일시,번체번역요청일시,말레이어번역요청일시,번체SEO자동여부,말레이어SEO자동여부
CNTS_200000000007373,숙박,제주가좋아서 펜션,국문,제주가좋아서 펜션,,제주특별자치도 제주시 구좌읍 송당리 2250-1,제주특별자치도 제주시 구좌읍 비자림로 1569,33.4509119,126.7677935,y,5,,18198,,15,7,26,0,2,y,y,y,y,y,2020-01-02,,,,m,m,m,,,,,,,,,,anonymous,2018-08-16,anonymous,2022-03-22,35,36476,,-,n,,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007409,관광지,신화워터파크,국문,신화워터파크,,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.3017501,126.3206458,y,0,,6696,,1,0,27,0,0,y,y,y,y,y,2019-11-01,y,y,y,y,y,y,y,y,y,y,y,y,2019-11-01,2019-11-01,2019-11-01,muhahope,2018-08-28,muhahope,2022-03-22,4,13395,,,n,2018-08-28,2018-08-29,2019-03-15,2019-04-22,y,y,y,y,0,y,,y,,y,,y,,,,2021-01-06,,y,
CNTS_200000000007414,축제/행사,"제주 업사이클 페스티벌 ""가치고치""",국문,"제주 업사이클 페스티벌 ""가치고치""",,제주특별자치도 제주시 일도1동 1247,제주특별자치도 제주시 중앙로3길 36,33.5151351,126.5284001,y,0,,191,,0,0,0,0,0,y,y,n,y,y,2018-08-29,,,,m,m,m,,,,,,,,,,muhahope,2018-08-29,muhahope,2022-02-14,1,382,,,n,2018-08-29,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007415,축제/행사,탐라광장 하하 페스티벌,국문,탐라광장 하하 페스티벌,,제주특별자치도 제주시 일도1동 1146-22,제주특별자치도 제주시 동문로 6-6,33.5124476,126.5271229,y,0,,1561,,0,0,0,0,0,y,y,n,y,y,2019-07-16,,,,m,m,m,,,,,,,,,,ahm0213,2018-08-29,ahm0213,2022-02-14,0,3122,,,n,2018-08-29,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007430,음식점,르 쉬느아 (Le Chinois),국문,르 쉬느아 (Le Chinois),,제주특별자치도 서귀포시 안덕면 서광리 산 24 메리어트관 제주신화월드 호텔앤리조트 G층,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층,33.30761439,126.31747,y,5,,15949,,47,53,56,0,3,y,y,y,y,y,2020-02-25,y,y,y,y,y,y,y,y,y,y,y,y,2019-10-30,2019-10-30,2019-10-30,ahm0213,2018-08-31,ahm0213,2022-03-22,13,32304,,,n,2018-08-31,2018-09-05,2018-09-05,2018-09-05,y,y,y,y,0,y,,y,,y,,y,,,,2020-12-30,,y,
CNTS_200000000007453,음식점,하원가흑돼지,국문,하원가흑돼지,,제주특별자치도 서귀포시 하원동 1662-1,제주특별자치도 서귀포시 이어도로 278,33.326215,126.4716831,y,0,,1600,,1,0,5,0,0,y,y,y,y,y,2019-04-11,,y,,m,y,m,,y,,,y,,,2019-04-11,,ahm0213,2018-09-03,ahm0213,2022-03-22,0,3203,,,n,2018-09-03,,2018-12-28,,y,n,y,n,0,y,,y,,y,,y,,2019-04-11,,2019-04-11,,y,
CNTS_200000000007489,음식점,어머니몸국,국문,어머니몸국,,제주특별자치도 제주시 조천읍 조천리 2360-2,제주특별자치도 제주시 조천읍 신북로 245,33.5373793,126.6384937,y,1,,1646,,1,1,3,0,0,y,y,y,y,y,2019-03-08,,,,m,m,m,,,,,,,,,,anonymous,2018-09-11,anonymous,2022-03-22,1,3300,,964-695,n,,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007508,음식점,두루두루,국문,두루두루,,제주특별자치도 제주시 연동 291-10,제주특별자치도 제주시 삼무로3길 14,33.4904731,126.4945135,y,5,,1352,,2,0,4,0,0,y,y,y,y,y,2018-09-17,y,,,y,m,m,y,,,y,,,2018-09-17,,,gorra2296,2018-09-14,gorra2296,2022-03-21,3,2710,,,n,2018-09-14,2018-09-17,,,y,y,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007509,테마여행,방송 말고 직접 즐겨볼까 <TV 속 제주 명소>,국문,방송 말고 직접 즐겨볼까 <TV 속 제주 명소>,,,,,,y,0,,8882,,1,0,0,0,0,y,y,y,y,y,2018-09-14,,,,m,m,m,,,,,,,,,,gorra2296,2018-09-14,gorra2296,2022-03-20,1,17767,,,n,2018-09-14,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007516,테마여행,카페인 놉! 커피 대신 차는 어때 <제주 찻집>,국문,카페인 놉! 커피 대신 차는 어때 <제주 찻집>,,,,,,y,0,,5856,,0,0,1,0,0,y,y,y,y,y,2018-09-17,y,,y,y,m,y,y,,y,y,,y,2019-12-20,,2018-10-17,gorra2296,2018-09-17,gorra2296,2022-03-21,0,11712,,,n,2018-09-17,2019-12-20,,2018-10-17,y,y,n,y,0,,y,,y,,y,,y,,2020-03-04,,2020-03-04,,y
CNTS_200000000007531,음식점,신짜장,국문,신짜장,,제주특별자치도 제주시 이도2동 1010-1,제주특별자치도 제주시 중앙로 254,33.4972764,126.5312549,y,0,,898,,0,0,1,0,0,y,y,y,y,y,2018-12-20,,,,m,m,m,,,,,,,,,,gorra2296,2018-09-21,gorra2296,2022-03-21,0,1796,,,n,2018-09-21,,,,y,n,n,n,0,,,,,,,,,,,,,,
CNTS_200000000008614,음식점,뿔소라몽땅정식,국문,뿔소라몽땅정식,,제주특별자치도 서귀포시 법환동 1556,제주특별자치도 서귀포시 이어도로 866-27,33.2337405,126.5072152,y,0,,984,,0,0,5,0,0,y,y,y,y,y,2019-10-25,y,,,y,m,m,y,,,y,,,2019-10-25,,,haayunn,2019-04-16,haayunn,2022-03-10,0,1968,,,n,2019-04-16,2019-04-17,,,y,y,n,n,0,,,m,m,,,,,,,,,n,n
CNTS_200000000007375,관광지,감수굴 밭담길,국문,감수굴 밭담길,,제주특별자치도 제주시 구좌읍 평대리 584-1,제주특별자치도 제주시 구좌읍 평대7길 34,33.5243749,126.8423829,y,0,,4281,,0,0,7,0,0,y,y,y,y,y,2018-08-20,y,y,y,y,y,y,y,y,y,y,y,y,2018-08-29,2019-08-05,2018-08-22,muhahope,2018-08-17,muhahope,2022-03-21,2,8562,,,n,2018-08-17,2018-08-20,2018-08-22,2018-08-22,y,y,y,y,0,y,,y,,y,,y,,2019-08-05,,2019-08-05,,y,
CNTS_200000000007469,테마여행,요리보고 조리보고 ‘종달리편’ <제주의 마지막 마을>,국문,요리보고 조리보고 ‘종달리편’ <제주의 마지막 마을>,,,,,,y,0,,7783,,0,0,0,0,0,y,y,y,y,y,2018-09-05,y,,,y,m,m,y,,,y,,,2020-03-03,,,kimhk,2018-09-04,kimhk,2022-03-20,3,15566,,,n,2018-09-04,2020-03-03,,,y,y,n,n,0,,y,,y,,y,,y,,2020-03-04,,2020-03-04,,y
CNTS_200000000007496,관광지,화조원,국문,화조원,,제주특별자치도 제주시 애월읍 납읍리 58,제주특별자치도 제주시 애월읍 애원로 804,33.4113881,126.3717903,y,5,,5462,,1,2,41,0,2,y,y,y,y,y,2018-09-13,y,,,y,m,m,y,,,y,,,2019-10-11,,,ahm0213,2018-09-13,ahm0213,2022-03-22,2,10937,,,n,2018-09-13,2019-10-10,,,y,y,n,n,0,,,,,,,,,,,,,,
CNTS_200000000007512,음식점,녹원전통찻집,국문,녹원전통찻집,,제주특별자치도 제주시 삼도2동 223-14,제주특별자치도 제주시 중앙로 122-2,33.5075736,126.5243815,y,0,,1249,,1,0,1,0,0,y,y,y,y,y,2018-09-17,,,y,m,m,y,,,y,,,y,,,2018-10-17,gorra2296,2018-09-17,gorra2296,2022-03-20,0,2501,,,n,2018-09-17,,,2018-10-17,y,n,n,y,0,,,,,,,,,,,,,,
CNTS_200000000007513,음식점,도리화과,국문,도리화과,,제주특별자치도 제주시 오라2동 696-7,제주특별자치도 제주시 아연로 194,33.4189867,126.5196085,y,0,https://www.instagram.com/dorihwa_,2159,,0,0,4,0,0,y,y,y,y,y,2018-09-17,y,y,y,y,y,y,y,y,y,y,y,y,2018-09-21,2019-02-27,2018-10-17,gorra2296,2018-09-17,gorra2296,2022-03-21,3,4318,,,n,2018-09-17,2018-09-17,2019-02-26,2018-10-17,y,y,y,y,0,y,,y,,y,,y,,2019-02-27,,2019-02-27,,y,
